,Time,Score
0,3 days ago,1
1,4 days ago,5
2,5 days ago,5
3,6 days ago,2
4,a week ago,5
5,a week ago,5
6,a week ago,1
7,a week ago,4
8,a week ago,4
9,a week ago,5
10,2 weeks ago,4
11,2 weeks ago,5
12,2 weeks ago,1
13,2 weeks ago,5
14,2 weeks ago,4
15,2 weeks ago,5
16,3 weeks ago,5
17,3 weeks ago,2
18,3 weeks ago,5
19,4 weeks ago,5
20,4 weeks ago,5
21,4 weeks ago,5
22,4 weeks ago,5
23,4 weeks ago,5
24,a month ago,5
25,a month ago,5
26,a month ago,4
27,a month ago,4
28,a month ago,4
29,a month ago,4
30,a month ago,3
31,a month ago,4
32,a month ago,4
33,a month ago,4
34,a month ago,5
35,a month ago,5
36,a month ago,5
37,a month ago,4
38,a month ago,4
39,a month ago,3
40,a month ago,3
41,a month ago,5
42,a month ago,4
43,a month ago,4
44,a month ago,3
45,a month ago,3
46,a month ago,5
47,a month ago,5
48,a month ago,1
49,a month ago,4
50,a month ago,4
51,a month ago,4
52,a month ago,5
53,a month ago,1
54,a month ago,5
55,a month ago,1
56,a month ago,5
57,a month ago,5
58,2 months ago,5
59,2 months ago,5
60,2 months ago,5
61,2 months ago,4
62,2 months ago,5
63,2 months ago,5
64,2 months ago,5
65,2 months ago,4
66,2 months ago,4
67,2 months ago,4
68,2 months ago,4
69,2 months ago,5
70,2 months ago,5
71,2 months ago,5
72,2 months ago,3
73,2 months ago,4
74,2 months ago,4
75,2 months ago,5
76,2 months ago,5
77,2 months ago,2
78,2 months ago,5
79,2 months ago,5
80,2 months ago,5
81,2 months ago,5
82,2 months ago,5
83,2 months ago,5
84,2 months ago,1
85,3 months ago,5
86,3 months ago,5
87,3 months ago,4
88,3 months ago,2
89,3 months ago,5
90,3 months ago,5
91,3 months ago,5
92,3 months ago,5
93,3 months ago,4
94,3 months ago,5
95,3 months ago,5
96,3 months ago,5
97,3 months ago,5
98,3 months ago,5
99,3 months ago,4
100,3 months ago,5
101,3 months ago,3
102,3 months ago,3
103,3 months ago,5
104,3 months ago,4
105,3 months ago,5
106,3 months ago,5
107,3 months ago,5
108,3 months ago,5
109,3 months ago,5
110,3 months ago,3
111,4 months ago,5
112,4 months ago,4
113,4 months ago,5
114,4 months ago,5
115,4 months ago,3
116,4 months ago,5
117,4 months ago,5
118,4 months ago,5
119,4 months ago,4
120,4 months ago,5
121,4 months ago,5
122,4 months ago,5
123,4 months ago,4
124,4 months ago,5
125,4 months ago,5
126,4 months ago,5
127,4 months ago,4
128,4 months ago,5
129,4 months ago,5
130,4 months ago,5
131,4 months ago,5
132,4 months ago,5
133,4 months ago,4
134,4 months ago,5
135,4 months ago,5
136,4 months ago,5
137,4 months ago,5
138,4 months ago,4
139,4 months ago,3
140,4 months ago,5
141,4 months ago,5
142,4 months ago,5
143,4 months ago,5
144,4 months ago,5
145,5 months ago,5
146,5 months ago,5
147,5 months ago,5
148,5 months ago,3
149,5 months ago,1
150,5 months ago,2
151,5 months ago,1
152,5 months ago,4
153,5 months ago,3
154,5 months ago,3
155,5 months ago,4
156,5 months ago,4
157,5 months ago,5
158,5 months ago,5
159,5 months ago,5
160,5 months ago,5
161,5 months ago,5
162,5 months ago,5
163,5 months ago,5
164,5 months ago,5
165,5 months ago,5
166,5 months ago,1
167,5 months ago,4
168,5 months ago,5
169,5 months ago,5
170,5 months ago,5
171,5 months ago,5
172,5 months ago,5
173,5 months ago,5
174,5 months ago,5
175,5 months ago,5
176,5 months ago,5
177,5 months ago,4
178,5 months ago,4
179,5 months ago,5
180,5 months ago,3
181,5 months ago,5
182,5 months ago,5
183,5 months ago,5
184,5 months ago,5
185,5 months ago,1
186,6 months ago,5
187,6 months ago,5
188,6 months ago,5
189,6 months ago,5
190,6 months ago,5
191,6 months ago,5
192,6 months ago,5
193,6 months ago,4
194,6 months ago,3
195,6 months ago,5
196,6 months ago,5
197,6 months ago,5
198,6 months ago,4
199,6 months ago,4
200,6 months ago,5
201,6 months ago,4
202,6 months ago,5
203,6 months ago,5
204,6 months ago,4
205,6 months ago,3
206,6 months ago,4
207,6 months ago,5
208,6 months ago,4
209,6 months ago,2
210,6 months ago,5
211,6 months ago,5
212,6 months ago,5
213,6 months ago,5
214,6 months ago,5
215,6 months ago,5
216,6 months ago,5
217,6 months ago,3
218,6 months ago,5
219,6 months ago,5
220,6 months ago,5
221,6 months ago,5
222,6 months ago,5
223,6 months ago,5
224,6 months ago,5
225,6 months ago,5
226,6 months ago,1
227,6 months ago,5
228,6 months ago,5
229,6 months ago,4
230,6 months ago,4
231,6 months ago,5
232,6 months ago,5
233,7 months ago,4
234,7 months ago,5
235,7 months ago,5
236,7 months ago,5
237,7 months ago,5
238,7 months ago,4
239,7 months ago,4
240,7 months ago,2
241,7 months ago,4
242,7 months ago,5
243,7 months ago,5
244,7 months ago,5
245,7 months ago,5
246,7 months ago,4
247,7 months ago,3
248,7 months ago,4
249,7 months ago,5
250,7 months ago,4
251,7 months ago,5
252,7 months ago,5
253,7 months ago,4
254,7 months ago,3
255,7 months ago,5
256,7 months ago,5
257,7 months ago,2
258,7 months ago,3
259,7 months ago,3
260,7 months ago,5
261,7 months ago,5
262,7 months ago,3
263,7 months ago,2
264,7 months ago,4
265,7 months ago,5
266,7 months ago,5
267,7 months ago,4
268,7 months ago,1
269,7 months ago,2
270,7 months ago,1
271,7 months ago,4
272,7 months ago,5
273,7 months ago,5
274,7 months ago,5
275,7 months ago,2
276,7 months ago,5
277,7 months ago,3
278,7 months ago,4
279,7 months ago,5
280,7 months ago,5
281,7 months ago,1
282,7 months ago,4
283,7 months ago,5
284,8 months ago,4
285,8 months ago,5
286,8 months ago,4
287,8 months ago,4
288,8 months ago,5
289,8 months ago,3
290,8 months ago,5
291,8 months ago,5
292,8 months ago,3
293,8 months ago,4
294,8 months ago,2
295,8 months ago,5
296,8 months ago,4
297,8 months ago,5
298,8 months ago,4
299,8 months ago,5
300,8 months ago,5
301,8 months ago,5
302,8 months ago,5
303,8 months ago,5
304,8 months ago,5
305,8 months ago,5
306,8 months ago,5
307,8 months ago,3
308,8 months ago,4
309,8 months ago,3
310,8 months ago,5
311,8 months ago,4
312,8 months ago,5
313,8 months ago,4
314,8 months ago,5
315,8 months ago,5
316,8 months ago,5
317,8 months ago,5
318,8 months ago,3
319,8 months ago,4
320,8 months ago,5
321,8 months ago,5
322,8 months ago,4
323,8 months ago,5
324,8 months ago,5
325,8 months ago,5
326,8 months ago,3
327,8 months ago,3
328,8 months ago,4
329,8 months ago,5
330,8 months ago,4
331,8 months ago,5
332,8 months ago,5
333,8 months ago,4
334,8 months ago,5
335,8 months ago,5
336,8 months ago,5
337,8 months ago,4
338,8 months ago,2
339,8 months ago,5
340,8 months ago,5
341,8 months ago,4
342,8 months ago,5
343,8 months ago,5
344,9 months ago,5
345,9 months ago,5
346,9 months ago,5
347,9 months ago,5
348,9 months ago,5
349,9 months ago,5
350,9 months ago,5
351,9 months ago,4
352,9 months ago,5
353,9 months ago,5
354,9 months ago,5
355,9 months ago,4
356,9 months ago,5
357,9 months ago,4
358,9 months ago,5
359,9 months ago,4
360,9 months ago,5
361,9 months ago,4
362,9 months ago,5
363,9 months ago,4
364,9 months ago,4
365,9 months ago,5
366,9 months ago,4
367,9 months ago,5
368,9 months ago,5
369,9 months ago,4
370,9 months ago,5
371,9 months ago,5
372,9 months ago,5
373,9 months ago,5
374,9 months ago,1
375,9 months ago,5
376,9 months ago,3
377,9 months ago,5
378,9 months ago,5
379,9 months ago,5
380,9 months ago,4
381,9 months ago,4
382,9 months ago,5
383,9 months ago,5
384,9 months ago,5
385,9 months ago,4
386,9 months ago,5
387,9 months ago,1
388,9 months ago,5
389,9 months ago,5
390,10 months ago,5
391,10 months ago,5
392,10 months ago,4
393,10 months ago,3
394,10 months ago,5
395,10 months ago,4
396,10 months ago,5
397,10 months ago,3
398,10 months ago,5
399,10 months ago,4
400,10 months ago,5
401,10 months ago,5
402,10 months ago,5
403,10 months ago,3
404,10 months ago,4
405,10 months ago,5
406,10 months ago,5
407,10 months ago,4
408,10 months ago,3
409,10 months ago,5
410,10 months ago,5
411,10 months ago,5
412,10 months ago,4
413,10 months ago,5
414,10 months ago,2
415,10 months ago,4
416,10 months ago,5
417,10 months ago,5
418,10 months ago,2
419,10 months ago,5
420,10 months ago,5
421,10 months ago,3
422,10 months ago,4
423,10 months ago,5
424,10 months ago,1
425,10 months ago,4
426,10 months ago,5
427,10 months ago,5
428,10 months ago,5
429,10 months ago,5
430,10 months ago,5
431,10 months ago,5
432,10 months ago,5
433,10 months ago,4
434,10 months ago,5
435,10 months ago,5
436,10 months ago,5
437,10 months ago,5
438,10 months ago,5
439,10 months ago,5
440,10 months ago,5
441,10 months ago,5
442,10 months ago,5
443,10 months ago,5
444,10 months ago,4
445,10 months ago,3
446,10 months ago,5
447,10 months ago,5
448,10 months ago,4
449,10 months ago,5
450,10 months ago,5
451,10 months ago,2
452,10 months ago,5
453,10 months ago,5
454,10 months ago,5
455,10 months ago,5
456,10 months ago,5
457,10 months ago,1
458,10 months ago,5
459,10 months ago,5
460,10 months ago,5
461,10 months ago,5
462,10 months ago,5
463,10 months ago,4
464,10 months ago,5
465,10 months ago,3
466,10 months ago,5
467,10 months ago,4
