,Time,Score
0,28 minutes ago,2
1,21 hours ago,5
2,22 hours ago,5
3,23 hours ago,5
4,a day ago,5
5,a day ago,5
6,a day ago,5
7,a day ago,5
8,a day ago,5
9,a day ago,4
10,a day ago,5
11,a day ago,5
12,2 days ago,4
13,2 days ago,5
14,2 days ago,5
15,2 days ago,2
16,3 days ago,4
17,3 days ago,4
18,3 days ago,5
19,4 days ago,5
20,4 days ago,4
21,4 days ago,3
22,4 days ago,4
23,4 days ago,5
24,5 days ago,1
25,5 days ago,5
26,5 days ago,5
27,5 days ago,5
28,6 days ago,4
29,6 days ago,2
30,6 days ago,5
31,6 days ago,5
32,6 days ago,5
33,6 days ago,5
34,6 days ago,5
35,6 days ago,4
36,6 days ago,5
37,6 days ago,1
38,6 days ago,4
39,a week ago,2
40,a week ago,4
41,a week ago,5
42,a week ago,5
43,a week ago,4
44,a week ago,2
45,a week ago,1
46,a week ago,5
47,a week ago,5
48,a week ago,2
49,a week ago,3
50,a week ago,1
51,a week ago,5
52,a week ago,5
53,a week ago,5
54,a week ago,5
55,a week ago,1
56,a week ago,3
57,a week ago,1
58,a week ago,5
59,a week ago,5
60,a week ago,5
61,a week ago,4
62,a week ago,5
63,a week ago,5
64,a week ago,5
65,a week ago,5
66,a week ago,4
67,a week ago,5
68,2 weeks ago,4
69,2 weeks ago,5
70,2 weeks ago,1
71,2 weeks ago,5
72,2 weeks ago,4
73,2 weeks ago,2
74,2 weeks ago,2
75,2 weeks ago,4
76,2 weeks ago,5
77,2 weeks ago,3
78,2 weeks ago,5
79,2 weeks ago,5
80,2 weeks ago,5
81,2 weeks ago,3
82,2 weeks ago,5
83,2 weeks ago,5
84,2 weeks ago,5
85,2 weeks ago,5
86,2 weeks ago,5
87,2 weeks ago,5
88,2 weeks ago,3
89,2 weeks ago,5
90,2 weeks ago,5
91,2 weeks ago,5
92,2 weeks ago,4
93,2 weeks ago,4
94,2 weeks ago,5
95,2 weeks ago,5
96,2 weeks ago,5
97,2 weeks ago,5
98,2 weeks ago,5
99,3 weeks ago,5
100,3 weeks ago,5
101,3 weeks ago,3
102,3 weeks ago,5
103,3 weeks ago,5
104,3 weeks ago,3
105,3 weeks ago,5
106,3 weeks ago,4
107,3 weeks ago,5
108,3 weeks ago,5
109,3 weeks ago,5
110,3 weeks ago,5
111,3 weeks ago,4
112,3 weeks ago,5
113,3 weeks ago,5
114,3 weeks ago,4
115,3 weeks ago,4
116,3 weeks ago,5
117,3 weeks ago,5
118,3 weeks ago,4
119,3 weeks ago,4
120,3 weeks ago,4
121,3 weeks ago,5
122,3 weeks ago,3
123,3 weeks ago,5
124,3 weeks ago,3
125,3 weeks ago,2
126,3 weeks ago,3
127,3 weeks ago,4
128,3 weeks ago,4
129,3 weeks ago,5
130,4 weeks ago,5
131,4 weeks ago,5
132,4 weeks ago,5
133,4 weeks ago,5
134,4 weeks ago,5
135,4 weeks ago,5
136,a month ago,3
137,a month ago,5
138,a month ago,5
139,a month ago,5
140,a month ago,5
141,a month ago,4
142,a month ago,5
143,a month ago,4
144,a month ago,5
145,a month ago,5
146,a month ago,2
147,a month ago,5
148,a month ago,4
149,a month ago,5
150,a month ago,5
151,a month ago,1
152,a month ago,5
153,a month ago,5
154,a month ago,5
155,a month ago,4
156,a month ago,3
157,a month ago,5
