,Time,Score
0,6 minutes ago,5
1,an hour ago,4
2,2 hours ago,5
3,3 hours ago,5
4,4 hours ago,2
5,a day ago,5
6,a day ago,5
7,a day ago,5
8,a day ago,5
9,a day ago,5
10,a day ago,5
11,a day ago,5
12,a day ago,5
13,2 days ago,4
14,2 days ago,5
15,2 days ago,5
16,2 days ago,4
17,2 days ago,5
18,2 days ago,5
19,3 days ago,2
20,3 days ago,4
21,3 days ago,4
22,4 days ago,5
23,4 days ago,5
24,4 days ago,4
25,4 days ago,3
26,4 days ago,4
27,5 days ago,5
28,5 days ago,1
29,5 days ago,5
30,5 days ago,5
31,6 days ago,5
32,6 days ago,4
33,6 days ago,2
34,6 days ago,5
35,6 days ago,5
36,6 days ago,5
37,6 days ago,5
38,6 days ago,5
39,6 days ago,4
40,6 days ago,5
41,a week ago,1
42,a week ago,4
43,a week ago,2
44,a week ago,4
45,a week ago,5
46,a week ago,5
47,a week ago,4
48,a week ago,2
49,a week ago,1
50,a week ago,5
51,a week ago,5
52,a week ago,2
53,a week ago,3
54,a week ago,1
55,a week ago,5
56,a week ago,5
57,a week ago,5
58,a week ago,5
59,a week ago,1
60,a week ago,3
61,a week ago,1
62,a week ago,5
63,a week ago,5
64,a week ago,5
65,a week ago,4
66,a week ago,5
67,a week ago,5
68,a week ago,5
69,a week ago,5
70,a week ago,4
71,a week ago,5
72,2 weeks ago,4
73,2 weeks ago,5
74,2 weeks ago,1
75,2 weeks ago,5
76,2 weeks ago,4
77,2 weeks ago,2
78,2 weeks ago,2
79,2 weeks ago,4
80,2 weeks ago,5
81,2 weeks ago,3
82,2 weeks ago,5
83,2 weeks ago,5
84,2 weeks ago,5
85,2 weeks ago,3
86,2 weeks ago,5
87,2 weeks ago,5
88,2 weeks ago,5
89,2 weeks ago,5
90,2 weeks ago,5
91,2 weeks ago,5
92,2 weeks ago,3
93,2 weeks ago,5
94,2 weeks ago,5
95,2 weeks ago,5
96,2 weeks ago,4
97,2 weeks ago,4
98,2 weeks ago,5
99,2 weeks ago,5
100,3 weeks ago,5
101,3 weeks ago,5
102,3 weeks ago,5
103,3 weeks ago,5
104,3 weeks ago,5
105,3 weeks ago,3
106,3 weeks ago,5
107,3 weeks ago,5
108,3 weeks ago,3
109,3 weeks ago,5
110,3 weeks ago,4
111,3 weeks ago,5
112,3 weeks ago,5
113,3 weeks ago,5
114,3 weeks ago,5
115,3 weeks ago,4
116,3 weeks ago,5
117,3 weeks ago,5
118,3 weeks ago,4
119,3 weeks ago,4
120,3 weeks ago,5
121,3 weeks ago,5
122,3 weeks ago,4
123,3 weeks ago,4
124,3 weeks ago,4
125,3 weeks ago,5
126,3 weeks ago,3
127,3 weeks ago,5
128,3 weeks ago,3
129,3 weeks ago,2
130,3 weeks ago,3
131,3 weeks ago,4
132,3 weeks ago,4
133,4 weeks ago,5
134,4 weeks ago,5
135,4 weeks ago,5
136,4 weeks ago,5
137,4 weeks ago,5
138,4 weeks ago,5
139,4 weeks ago,5
140,a month ago,3
141,a month ago,5
142,a month ago,5
143,a month ago,5
144,a month ago,5
145,a month ago,4
146,a month ago,5
147,a month ago,4
148,a month ago,5
149,a month ago,5
150,a month ago,2
151,a month ago,5
152,a month ago,4
153,a month ago,5
154,a month ago,5
155,a month ago,1
156,a month ago,5
157,a month ago,5
158,a month ago,5
159,a month ago,4
160,a month ago,3
161,a month ago,5
162,a month ago,4
163,a month ago,5
164,a month ago,4
165,a month ago,5
166,a month ago,5
167,a month ago,3
168,a month ago,5
169,a month ago,5
170,a month ago,5
171,a month ago,5
172,a month ago,5
173,a month ago,5
174,a month ago,4
175,a month ago,4
176,a month ago,4
177,a month ago,5
178,a month ago,1
179,a month ago,1
180,a month ago,5
181,a month ago,5
182,a month ago,5
183,a month ago,4
184,a month ago,5
185,a month ago,4
186,a month ago,5
187,a month ago,5
188,a month ago,5
189,a month ago,5
190,a month ago,5
191,a month ago,5
192,a month ago,5
193,a month ago,1
194,a month ago,5
195,a month ago,1
196,a month ago,5
197,a month ago,1
198,a month ago,5
199,a month ago,4
200,a month ago,5
201,a month ago,5
202,a month ago,3
203,a month ago,5
204,a month ago,5
205,a month ago,5
206,a month ago,4
207,a month ago,1
208,a month ago,5
209,a month ago,5
210,a month ago,2
211,a month ago,3
212,a month ago,5
213,a month ago,4
214,a month ago,5
215,a month ago,5
216,a month ago,5
217,a month ago,5
218,a month ago,5
219,a month ago,2
220,a month ago,2
221,a month ago,4
222,a month ago,5
223,a month ago,5
224,a month ago,4
225,a month ago,3
226,a month ago,5
227,a month ago,5
228,a month ago,5
229,a month ago,5
230,a month ago,3
231,a month ago,5
232,a month ago,5
233,a month ago,5
234,a month ago,5
235,a month ago,4
236,a month ago,5
237,a month ago,5
238,a month ago,5
239,a month ago,1
240,a month ago,5
241,a month ago,5
242,a month ago,4
243,a month ago,4
244,a month ago,2
245,a month ago,5
246,a month ago,4
247,a month ago,5
248,a month ago,2
249,a month ago,4
250,a month ago,5
251,a month ago,5
252,a month ago,5
253,a month ago,5
254,a month ago,4
255,a month ago,3
256,a month ago,5
257,a month ago,4
258,a month ago,5
259,a month ago,4
260,a month ago,5
261,a month ago,5
262,a month ago,5
263,a month ago,3
264,a month ago,5
265,a month ago,5
266,a month ago,5
267,a month ago,3
268,a month ago,5
269,a month ago,1
270,a month ago,5
271,a month ago,5
272,a month ago,5
273,a month ago,4
274,a month ago,5
275,a month ago,5
276,a month ago,5
277,a month ago,5
278,a month ago,3
279,a month ago,5
280,a month ago,5
281,a month ago,4
282,a month ago,5
283,a month ago,4
284,2 months ago,5
285,2 months ago,5
286,2 months ago,4
287,2 months ago,5
288,2 months ago,5
289,2 months ago,5
290,2 months ago,5
291,2 months ago,4
292,2 months ago,1
293,2 months ago,5
294,2 months ago,3
295,2 months ago,4
296,2 months ago,5
297,2 months ago,4
298,2 months ago,1
299,2 months ago,5
300,2 months ago,5
301,2 months ago,5
302,2 months ago,4
303,2 months ago,5
304,2 months ago,5
305,2 months ago,5
306,2 months ago,5
307,2 months ago,5
308,2 months ago,5
309,2 months ago,5
310,2 months ago,3
311,2 months ago,5
312,2 months ago,5
313,2 months ago,5
314,2 months ago,5
315,2 months ago,5
316,2 months ago,1
317,2 months ago,1
318,2 months ago,5
319,2 months ago,4
320,2 months ago,5
321,2 months ago,5
322,2 months ago,5
323,2 months ago,1
324,2 months ago,5
325,2 months ago,5
326,2 months ago,5
327,2 months ago,5
328,2 months ago,2
329,2 months ago,5
330,2 months ago,4
331,2 months ago,4
332,2 months ago,5
333,2 months ago,5
334,2 months ago,5
335,2 months ago,5
336,2 months ago,3
337,2 months ago,4
338,2 months ago,5
