,Time,Score
0,2 weeks ago,2
1,a month ago,5
2,a month ago,5
3,a month ago,5
4,a month ago,5
5,a month ago,5
6,a month ago,5
7,2 months ago,5
8,3 months ago,5
9,4 months ago,3
10,4 months ago,5
11,5 months ago,2
12,6 months ago,5
13,7 months ago,4
14,7 months ago,5
15,7 months ago,5
16,7 months ago,5
17,7 months ago,5
18,7 months ago,5
19,8 months ago,5
20,8 months ago,2
21,10 months ago,1
22,10 months ago,5
23,10 months ago,5
24,10 months ago,5
25,11 months ago,5
26,11 months ago,1
27,11 months ago,5
28,11 months ago,5
29,a year ago,5
30,a year ago,5
31,a year ago,5
32,a year ago,5
33,a year ago,5
34,a year ago,4
35,a year ago,5
36,a year ago,5
37,a year ago,4
38,a year ago,1
39,a year ago,5
40,a year ago,5
41,a year ago,5
42,a year ago,5
43,a year ago,2
44,a year ago,2
45,a year ago,5
46,a year ago,5
47,a year ago,5
48,a year ago,5
49,a year ago,5
