,Time,Score
0,4 hours ago,5
1,8 hours ago,5
2,14 hours ago,4
3,21 hours ago,5
4,21 hours ago,5
5,a day ago,5
6,2 days ago,3
7,2 days ago,3
8,2 days ago,4
9,2 days ago,3
10,3 days ago,5
11,3 days ago,4
12,3 days ago,3
13,3 days ago,5
14,4 days ago,5
15,4 days ago,5
16,5 days ago,5
17,5 days ago,5
18,5 days ago,5
19,6 days ago,3
20,6 days ago,5
21,6 days ago,5
22,6 days ago,4
23,6 days ago,5
24,a week ago,5
25,a week ago,5
26,a week ago,5
27,a week ago,5
28,a week ago,5
29,a week ago,5
30,a week ago,5
31,a week ago,5
32,a week ago,5
33,a week ago,5
34,a week ago,5
35,a week ago,4
36,a week ago,5
37,a week ago,5
38,a week ago,5
39,a week ago,5
40,a week ago,5
41,a week ago,5
42,a week ago,5
43,a week ago,5
44,2 weeks ago,5
45,2 weeks ago,5
46,2 weeks ago,5
47,2 weeks ago,5
48,2 weeks ago,5
49,2 weeks ago,5
50,2 weeks ago,5
51,2 weeks ago,5
52,2 weeks ago,4
53,2 weeks ago,5
54,2 weeks ago,5
55,2 weeks ago,5
56,2 weeks ago,5
57,2 weeks ago,5
58,2 weeks ago,5
59,2 weeks ago,5
60,2 weeks ago,5
61,2 weeks ago,4
62,2 weeks ago,5
63,2 weeks ago,5
64,2 weeks ago,5
65,2 weeks ago,4
66,3 weeks ago,5
67,3 weeks ago,5
68,3 weeks ago,5
69,3 weeks ago,5
70,3 weeks ago,5
71,3 weeks ago,5
72,3 weeks ago,1
73,3 weeks ago,5
74,3 weeks ago,5
75,3 weeks ago,5
76,3 weeks ago,5
77,3 weeks ago,5
78,3 weeks ago,5
79,3 weeks ago,5
80,3 weeks ago,5
81,3 weeks ago,5
82,3 weeks ago,4
83,3 weeks ago,5
84,3 weeks ago,4
85,3 weeks ago,5
86,3 weeks ago,5
87,3 weeks ago,4
88,3 weeks ago,2
89,3 weeks ago,2
90,3 weeks ago,5
91,3 weeks ago,5
92,3 weeks ago,5
93,3 weeks ago,5
94,3 weeks ago,5
95,3 weeks ago,5
96,3 weeks ago,4
97,3 weeks ago,5
98,3 weeks ago,5
99,3 weeks ago,4
100,3 weeks ago,4
101,3 weeks ago,5
102,4 weeks ago,5
103,a month ago,4
104,a month ago,5
105,a month ago,5
106,a month ago,5
107,a month ago,5
108,a month ago,5
109,a month ago,4
110,a month ago,5
111,a month ago,5
112,a month ago,4
113,a month ago,3
114,a month ago,3
115,a month ago,5
116,a month ago,5
117,a month ago,5
118,a month ago,5
119,a month ago,5
120,a month ago,5
