,Time,Score
0,6 days ago,5
1,a week ago,5
2,a week ago,5
3,2 weeks ago,5
4,2 weeks ago,5
5,2 weeks ago,5
6,3 weeks ago,4
7,a month ago,5
8,a month ago,3
9,a month ago,5
10,a month ago,5
11,a month ago,5
12,a month ago,4
13,a month ago,5
14,a month ago,1
15,a month ago,5
16,a month ago,5
17,a month ago,1
18,a month ago,5
19,2 months ago,4
20,2 months ago,5
21,2 months ago,5
22,2 months ago,5
23,2 months ago,1
24,2 months ago,5
25,2 months ago,5
26,2 months ago,1
27,2 months ago,5
28,2 months ago,5
29,2 months ago,1
30,2 months ago,5
31,2 months ago,5
32,2 months ago,5
33,3 months ago,5
34,3 months ago,5
35,3 months ago,4
36,3 months ago,5
37,3 months ago,5
38,3 months ago,5
39,3 months ago,1
40,3 months ago,1
41,3 months ago,5
42,3 months ago,4
43,3 months ago,5
44,3 months ago,5
45,3 months ago,5
46,3 months ago,5
47,3 months ago,4
48,3 months ago,3
49,3 months ago,5
50,3 months ago,5
51,3 months ago,1
52,4 months ago,5
53,4 months ago,3
54,4 months ago,1
55,4 months ago,4
56,4 months ago,5
57,4 months ago,3
58,4 months ago,3
59,4 months ago,1
60,4 months ago,5
61,4 months ago,5
62,4 months ago,5
63,4 months ago,5
64,4 months ago,5
65,4 months ago,1
66,4 months ago,4
67,5 months ago,5
68,5 months ago,5
69,5 months ago,5
70,5 months ago,5
71,5 months ago,5
72,5 months ago,5
73,5 months ago,5
74,5 months ago,5
75,5 months ago,5
76,5 months ago,4
77,5 months ago,1
78,5 months ago,5
79,5 months ago,5
80,5 months ago,1
81,5 months ago,5
82,6 months ago,5
83,6 months ago,4
84,6 months ago,1
85,6 months ago,1
86,6 months ago,5
87,6 months ago,1
88,6 months ago,5
89,6 months ago,5
90,6 months ago,5
91,6 months ago,1
92,6 months ago,5
93,6 months ago,2
94,6 months ago,5
95,6 months ago,4
96,6 months ago,5
97,6 months ago,5
98,6 months ago,1
99,6 months ago,5
100,6 months ago,4
101,6 months ago,5
102,7 months ago,5
103,7 months ago,5
104,7 months ago,4
105,7 months ago,5
106,7 months ago,4
107,7 months ago,5
108,7 months ago,4
109,7 months ago,3
110,7 months ago,4
111,7 months ago,5
112,8 months ago,1
113,8 months ago,5
114,8 months ago,5
115,8 months ago,5
116,8 months ago,5
117,8 months ago,3
118,8 months ago,5
119,8 months ago,2
120,8 months ago,5
121,8 months ago,3
122,8 months ago,3
123,8 months ago,5
124,8 months ago,3
125,8 months ago,5
126,8 months ago,5
127,8 months ago,4
128,8 months ago,1
129,8 months ago,5
130,8 months ago,4
131,8 months ago,5
132,8 months ago,5
133,8 months ago,3
134,9 months ago,2
135,9 months ago,2
136,9 months ago,5
137,9 months ago,4
138,9 months ago,4
139,9 months ago,4
140,9 months ago,4
141,9 months ago,5
142,9 months ago,5
143,9 months ago,5
144,9 months ago,5
145,9 months ago,5
146,9 months ago,3
147,9 months ago,4
148,9 months ago,5
149,9 months ago,3
150,9 months ago,4
151,9 months ago,5
152,9 months ago,5
153,9 months ago,5
154,9 months ago,5
155,9 months ago,5
156,9 months ago,5
157,9 months ago,5
158,9 months ago,5
159,9 months ago,5
160,9 months ago,5
161,9 months ago,5
162,9 months ago,5
163,9 months ago,5
164,9 months ago,4
165,9 months ago,4
166,9 months ago,5
167,9 months ago,5
168,9 months ago,5
169,9 months ago,5
170,9 months ago,5
171,9 months ago,4
172,9 months ago,5
173,9 months ago,5
174,9 months ago,5
175,9 months ago,4
176,9 months ago,5
177,9 months ago,5
178,9 months ago,5
179,9 months ago,4
180,9 months ago,5
181,9 months ago,3
182,9 months ago,5
183,9 months ago,5
184,9 months ago,5
185,9 months ago,4
186,9 months ago,5
187,9 months ago,5
188,9 months ago,5
189,9 months ago,5
190,9 months ago,4
191,9 months ago,5
192,10 months ago,5
193,10 months ago,1
194,10 months ago,1
195,10 months ago,5
196,10 months ago,5
197,10 months ago,5
198,10 months ago,4
199,10 months ago,5
200,10 months ago,4
201,10 months ago,4
202,10 months ago,5
203,10 months ago,5
204,10 months ago,5
205,10 months ago,5
206,10 months ago,5
207,10 months ago,5
208,10 months ago,5
209,10 months ago,5
210,10 months ago,5
211,10 months ago,5
212,10 months ago,5
213,10 months ago,4
214,10 months ago,5
215,10 months ago,5
216,10 months ago,5
217,10 months ago,3
218,10 months ago,5
219,10 months ago,5
220,10 months ago,4
221,10 months ago,4
222,10 months ago,3
223,10 months ago,5
224,10 months ago,4
225,10 months ago,5
226,10 months ago,5
227,10 months ago,5
228,10 months ago,5
229,10 months ago,4
230,10 months ago,5
231,10 months ago,5
232,10 months ago,5
233,10 months ago,4
234,10 months ago,5
235,10 months ago,5
236,10 months ago,5
237,10 months ago,5
238,10 months ago,4
239,10 months ago,5
240,10 months ago,4
241,10 months ago,5
242,10 months ago,5
243,10 months ago,5
244,10 months ago,4
245,10 months ago,5
246,10 months ago,5
247,10 months ago,5
248,10 months ago,5
249,10 months ago,4
250,10 months ago,4
251,10 months ago,5
252,10 months ago,5
253,10 months ago,5
254,10 months ago,4
255,10 months ago,5
256,10 months ago,4
257,10 months ago,5
258,10 months ago,1
259,10 months ago,5
260,11 months ago,5
261,11 months ago,5
262,11 months ago,5
263,11 months ago,1
264,11 months ago,5
265,11 months ago,5
266,11 months ago,5
267,11 months ago,5
268,11 months ago,5
269,11 months ago,5
270,11 months ago,5
271,11 months ago,5
272,11 months ago,5
273,11 months ago,5
274,11 months ago,3
275,11 months ago,5
276,11 months ago,5
277,11 months ago,5
278,11 months ago,4
279,11 months ago,5
280,11 months ago,1
281,11 months ago,5
282,11 months ago,5
283,11 months ago,5
284,11 months ago,4
285,11 months ago,5
286,11 months ago,5
287,11 months ago,4
288,11 months ago,5
289,11 months ago,4
290,11 months ago,5
291,11 months ago,4
292,11 months ago,4
293,11 months ago,1
294,11 months ago,5
295,11 months ago,5
296,a year ago,5
297,a year ago,4
298,a year ago,5
299,a year ago,5
300,a year ago,4
301,a year ago,5
302,a year ago,5
303,a year ago,5
304,a year ago,5
305,a year ago,5
306,a year ago,4
307,a year ago,5
308,a year ago,5
309,a year ago,5
310,a year ago,5
311,a year ago,5
312,a year ago,1
313,a year ago,5
314,a year ago,5
315,a year ago,5
316,a year ago,5
317,a year ago,3
318,a year ago,5
319,a year ago,1
320,a year ago,5
321,a year ago,5
322,a year ago,5
323,a year ago,4
324,a year ago,1
325,a year ago,3
326,a year ago,5
327,a year ago,5
328,a year ago,5
329,a year ago,5
330,a year ago,5
331,a year ago,4
332,a year ago,2
333,a year ago,5
334,a year ago,5
335,a year ago,5
336,a year ago,5
337,a year ago,3
338,a year ago,5
339,a year ago,5
340,a year ago,4
341,a year ago,1
342,a year ago,4
343,a year ago,4
344,a year ago,5
345,a year ago,4
346,a year ago,3
347,a year ago,4
348,a year ago,4
349,a year ago,5
350,a year ago,1
351,a year ago,5
352,a year ago,4
353,a year ago,5
354,a year ago,5
355,a year ago,5
356,a year ago,5
357,a year ago,3
358,a year ago,5
359,a year ago,1
360,a year ago,5
361,a year ago,5
362,a year ago,5
363,a year ago,1
364,a year ago,4
365,a year ago,5
366,a year ago,3
367,a year ago,4
368,a year ago,5
369,a year ago,5
370,a year ago,4
371,a year ago,2
372,a year ago,5
373,a year ago,1
374,a year ago,4
375,a year ago,5
376,a year ago,5
377,a year ago,5
378,a year ago,5
379,a year ago,5
380,a year ago,5
381,a year ago,5
382,a year ago,5
383,a year ago,4
384,a year ago,5
385,a year ago,5
386,a year ago,4
387,a year ago,5
388,a year ago,1
389,a year ago,4
390,a year ago,4
391,a year ago,5
392,a year ago,5
393,a year ago,5
394,a year ago,5
395,a year ago,4
396,a year ago,5
397,a year ago,5
398,a year ago,5
399,a year ago,5
400,a year ago,5
401,a year ago,5
402,a year ago,5
403,a year ago,3
404,a year ago,5
405,a year ago,5
406,a year ago,5
407,a year ago,5
408,a year ago,4
409,a year ago,4
410,a year ago,5
411,a year ago,5
412,a year ago,5
413,a year ago,5
414,a year ago,5
415,a year ago,5
416,a year ago,4
417,a year ago,5
418,a year ago,5
419,a year ago,5
420,a year ago,1
421,a year ago,5
422,a year ago,5
423,a year ago,5
424,a year ago,5
425,a year ago,5
426,a year ago,5
427,a year ago,5
428,a year ago,4
429,a year ago,5
430,a year ago,5
431,a year ago,5
432,a year ago,5
433,a year ago,5
434,a year ago,4
435,a year ago,5
436,a year ago,5
437,a year ago,1
438,a year ago,3
439,a year ago,4
440,a year ago,4
