,Time,Score
0,37 minutes ago,5
1,2 hours ago,5
2,5 hours ago,5
3,13 hours ago,5
4,15 hours ago,5
5,17 hours ago,5
6,20 hours ago,5
7,22 hours ago,4
8,a day ago,4
9,a day ago,5
10,a day ago,3
11,a day ago,5
12,a day ago,5
13,2 days ago,5
14,2 days ago,5
15,2 days ago,5
16,2 days ago,5
17,2 days ago,5
18,2 days ago,5
19,3 days ago,5
20,3 days ago,5
21,3 days ago,5
22,3 days ago,5
23,3 days ago,5
24,3 days ago,5
25,3 days ago,5
26,3 days ago,5
27,3 days ago,5
28,3 days ago,4
29,4 days ago,1
30,4 days ago,5
31,4 days ago,5
32,4 days ago,5
33,4 days ago,5
34,4 days ago,5
35,5 days ago,5
36,5 days ago,1
37,6 days ago,4
38,6 days ago,5
39,6 days ago,4
40,6 days ago,5
41,6 days ago,5
42,6 days ago,3
43,6 days ago,5
44,a week ago,1
45,a week ago,5
46,a week ago,4
47,a week ago,5
48,a week ago,5
49,a week ago,5
50,a week ago,5
51,a week ago,5
52,a week ago,5
53,a week ago,3
54,a week ago,4
55,a week ago,5
56,a week ago,5
57,a week ago,1
58,a week ago,5
59,a week ago,5
60,a week ago,5
61,a week ago,5
62,a week ago,5
63,a week ago,3
64,a week ago,5
65,a week ago,5
66,a week ago,5
67,a week ago,5
68,a week ago,3
69,a week ago,5
70,a week ago,5
71,a week ago,4
72,a week ago,4
73,a week ago,3
74,a week ago,3
75,a week ago,5
76,a week ago,5
77,a week ago,1
78,a week ago,4
79,2 weeks ago,4
80,2 weeks ago,5
81,2 weeks ago,5
82,2 weeks ago,5
83,2 weeks ago,4
84,2 weeks ago,5
85,2 weeks ago,5
86,2 weeks ago,5
87,2 weeks ago,5
88,2 weeks ago,5
89,2 weeks ago,5
90,2 weeks ago,5
91,2 weeks ago,5
92,2 weeks ago,5
93,2 weeks ago,5
94,2 weeks ago,5
95,2 weeks ago,5
96,2 weeks ago,5
97,2 weeks ago,5
98,2 weeks ago,5
99,2 weeks ago,5
100,2 weeks ago,5
101,2 weeks ago,5
102,2 weeks ago,4
103,2 weeks ago,5
104,2 weeks ago,1
105,2 weeks ago,5
106,2 weeks ago,5
107,2 weeks ago,5
108,3 weeks ago,5
109,3 weeks ago,5
110,3 weeks ago,5
111,3 weeks ago,5
112,3 weeks ago,5
113,3 weeks ago,5
114,3 weeks ago,5
115,3 weeks ago,3
116,3 weeks ago,5
117,3 weeks ago,5
118,3 weeks ago,5
119,3 weeks ago,5
120,3 weeks ago,5
121,3 weeks ago,5
122,3 weeks ago,5
123,3 weeks ago,4
124,3 weeks ago,4
125,3 weeks ago,5
126,3 weeks ago,5
127,3 weeks ago,5
128,3 weeks ago,5
129,3 weeks ago,5
130,3 weeks ago,5
131,3 weeks ago,5
132,3 weeks ago,5
133,3 weeks ago,5
134,3 weeks ago,5
135,3 weeks ago,4
136,3 weeks ago,5
137,3 weeks ago,5
138,3 weeks ago,4
139,3 weeks ago,5
140,3 weeks ago,5
141,3 weeks ago,5
142,3 weeks ago,4
143,3 weeks ago,5
144,3 weeks ago,5
145,3 weeks ago,5
146,3 weeks ago,5
147,3 weeks ago,5
148,3 weeks ago,5
149,3 weeks ago,5
150,3 weeks ago,5
151,3 weeks ago,5
152,3 weeks ago,5
153,3 weeks ago,5
154,4 weeks ago,5
155,4 weeks ago,5
156,4 weeks ago,4
157,4 weeks ago,5
158,4 weeks ago,5
159,4 weeks ago,5
160,4 weeks ago,4
161,4 weeks ago,4
162,4 weeks ago,4
163,4 weeks ago,5
164,4 weeks ago,5
165,4 weeks ago,4
166,4 weeks ago,5
167,4 weeks ago,5
168,a month ago,2
169,a month ago,5
170,a month ago,4
171,a month ago,5
172,a month ago,4
173,a month ago,5
174,a month ago,4
175,a month ago,4
176,a month ago,5
177,a month ago,5
178,a month ago,5
179,a month ago,3
180,a month ago,4
181,a month ago,5
182,a month ago,1
183,a month ago,5
184,a month ago,4
185,a month ago,4
186,a month ago,5
187,a month ago,5
188,a month ago,5
189,a month ago,4
190,a month ago,4
191,a month ago,5
192,a month ago,5
193,a month ago,5
194,a month ago,5
195,a month ago,5
196,a month ago,3
197,a month ago,5
198,a month ago,5
199,a month ago,5
200,a month ago,5
201,a month ago,5
202,a month ago,4
203,a month ago,5
204,a month ago,5
205,a month ago,3
206,a month ago,5
207,a month ago,5
208,a month ago,5
209,a month ago,2
210,a month ago,1
211,a month ago,5
212,a month ago,5
213,a month ago,5
214,a month ago,4
215,a month ago,5
216,a month ago,4
217,a month ago,5
218,a month ago,3
219,a month ago,3
220,a month ago,3
221,a month ago,5
222,a month ago,5
223,a month ago,5
224,a month ago,4
225,a month ago,5
226,a month ago,5
227,a month ago,5
228,a month ago,3
229,a month ago,5
230,a month ago,5
231,a month ago,5
232,a month ago,5
233,a month ago,4
234,a month ago,5
235,a month ago,5
236,a month ago,5
237,a month ago,5
238,a month ago,3
239,a month ago,5
240,a month ago,4
241,a month ago,4
242,a month ago,5
243,a month ago,4
244,a month ago,3
245,a month ago,4
246,a month ago,5
247,a month ago,5
248,a month ago,5
249,a month ago,4
250,a month ago,5
251,a month ago,5
252,a month ago,5
253,a month ago,5
254,a month ago,5
255,a month ago,5
256,a month ago,4
257,a month ago,5
258,a month ago,5
259,a month ago,5
260,a month ago,5
261,a month ago,4
262,a month ago,5
263,a month ago,5
264,a month ago,5
265,a month ago,4
266,a month ago,4
267,a month ago,5
268,a month ago,5
269,a month ago,4
270,a month ago,5
271,a month ago,2
272,a month ago,4
273,a month ago,1
274,a month ago,5
275,a month ago,5
276,a month ago,5
277,a month ago,5
278,a month ago,5
279,a month ago,5
280,a month ago,5
281,a month ago,2
282,a month ago,2
283,a month ago,5
284,a month ago,5
285,a month ago,5
286,a month ago,5
287,a month ago,4
288,a month ago,4
289,a month ago,5
290,a month ago,5
291,a month ago,5
292,a month ago,3
293,a month ago,5
294,a month ago,4
295,a month ago,5
296,a month ago,4
297,a month ago,5
298,a month ago,3
299,a month ago,5
300,a month ago,5
301,a month ago,5
302,a month ago,5
303,a month ago,5
304,a month ago,5
305,a month ago,4
306,a month ago,5
307,a month ago,5
308,a month ago,5
309,a month ago,4
310,a month ago,5
311,a month ago,5
312,a month ago,5
313,a month ago,5
314,a month ago,5
315,a month ago,5
316,a month ago,5
317,a month ago,5
318,a month ago,5
319,a month ago,5
320,a month ago,5
321,a month ago,5
322,a month ago,5
323,a month ago,5
324,a month ago,5
325,a month ago,5
326,a month ago,5
327,a month ago,4
328,a month ago,5
329,a month ago,3
330,a month ago,4
331,a month ago,5
332,a month ago,5
333,a month ago,5
334,a month ago,4
335,a month ago,5
336,a month ago,5
337,a month ago,5
338,a month ago,5
339,a month ago,5
340,a month ago,5
341,a month ago,1
342,a month ago,5
343,a month ago,5
344,a month ago,5
345,a month ago,5
346,a month ago,5
347,a month ago,5
348,a month ago,5
349,a month ago,5
350,a month ago,5
351,a month ago,5
352,a month ago,5
353,a month ago,5
354,a month ago,4
355,a month ago,3
356,a month ago,5
357,a month ago,5
358,a month ago,5
359,a month ago,3
360,a month ago,5
361,a month ago,4
362,2 months ago,5
363,2 months ago,4
364,2 months ago,5
365,2 months ago,5
366,2 months ago,5
367,2 months ago,5
368,2 months ago,5
369,2 months ago,5
370,2 months ago,5
371,2 months ago,4
372,2 months ago,5
373,2 months ago,4
374,2 months ago,5
375,2 months ago,5
376,2 months ago,5
377,2 months ago,5
378,2 months ago,5
379,2 months ago,5
380,2 months ago,5
381,2 months ago,5
382,2 months ago,5
383,2 months ago,5
384,2 months ago,5
385,2 months ago,5
386,2 months ago,5
387,2 months ago,2
388,2 months ago,4
389,2 months ago,3
390,2 months ago,5
391,2 months ago,5
392,2 months ago,5
393,2 months ago,4
394,2 months ago,5
395,2 months ago,5
396,2 months ago,1
397,2 months ago,5
398,2 months ago,5
399,2 months ago,4
400,2 months ago,5
401,2 months ago,5
402,2 months ago,5
403,2 months ago,5
404,2 months ago,5
405,2 months ago,5
406,2 months ago,5
407,2 months ago,4
408,2 months ago,5
409,2 months ago,3
410,2 months ago,5
411,2 months ago,5
412,2 months ago,4
413,2 months ago,3
414,2 months ago,5
415,2 months ago,5
416,2 months ago,5
417,2 months ago,5
418,2 months ago,5
419,2 months ago,4
420,2 months ago,5
421,2 months ago,5
422,2 months ago,5
423,2 months ago,5
424,2 months ago,5
425,2 months ago,5
426,2 months ago,5
427,2 months ago,5
428,2 months ago,5
429,2 months ago,5
430,2 months ago,4
431,2 months ago,4
432,2 months ago,5
433,2 months ago,5
434,2 months ago,5
435,2 months ago,5
436,2 months ago,5
437,2 months ago,5
438,2 months ago,4
439,2 months ago,5
440,2 months ago,5
441,2 months ago,5
442,2 months ago,5
443,2 months ago,5
444,2 months ago,5
445,2 months ago,4
446,2 months ago,5
447,2 months ago,5
448,2 months ago,3
449,2 months ago,5
450,2 months ago,5
451,2 months ago,5
452,2 months ago,5
453,2 months ago,5
454,2 months ago,5
455,2 months ago,5
456,2 months ago,5
457,2 months ago,5
458,2 months ago,5
459,2 months ago,5
460,2 months ago,5
461,2 months ago,4
462,2 months ago,4
463,2 months ago,4
464,2 months ago,5
465,2 months ago,5
466,2 months ago,5
467,2 months ago,5
468,2 months ago,5
469,2 months ago,5
470,2 months ago,2
471,2 months ago,4
472,2 months ago,3
473,2 months ago,5
474,2 months ago,5
475,2 months ago,5
