,Time,Score
0,50 minutes ago,5
1,3 hours ago,5
2,13 hours ago,5
3,16 hours ago,5
4,18 hours ago,5
5,19 hours ago,5
6,23 hours ago,4
7,a day ago,5
8,a day ago,4
9,a day ago,5
10,a day ago,5
11,a day ago,5
12,a day ago,1
13,a day ago,5
14,2 days ago,5
15,2 days ago,5
16,2 days ago,5
17,2 days ago,5
18,2 days ago,5
19,2 days ago,4
20,2 days ago,4
21,3 days ago,5
22,3 days ago,5
23,3 days ago,5
24,4 days ago,5
25,4 days ago,5
26,4 days ago,5
27,4 days ago,5
28,5 days ago,4
29,5 days ago,5
30,5 days ago,5
31,5 days ago,4
32,5 days ago,5
33,5 days ago,4
34,5 days ago,3
35,5 days ago,5
36,5 days ago,4
37,6 days ago,5
38,6 days ago,5
39,6 days ago,4
40,6 days ago,5
41,6 days ago,4
42,6 days ago,5
43,a week ago,5
44,a week ago,4
45,a week ago,5
46,a week ago,4
47,a week ago,2
48,a week ago,5
49,a week ago,3
50,a week ago,5
51,a week ago,5
52,a week ago,5
53,a week ago,5
54,a week ago,5
55,a week ago,5
56,a week ago,5
57,a week ago,5
58,a week ago,4
59,a week ago,3
60,a week ago,5
61,a week ago,5
62,a week ago,5
63,a week ago,5
64,a week ago,5
65,a week ago,5
66,a week ago,5
67,a week ago,5
68,a week ago,5
69,a week ago,5
70,a week ago,5
71,a week ago,5
72,a week ago,5
73,a week ago,4
74,2 weeks ago,5
75,2 weeks ago,5
76,2 weeks ago,5
77,2 weeks ago,5
78,2 weeks ago,5
79,2 weeks ago,5
80,2 weeks ago,5
81,2 weeks ago,5
82,2 weeks ago,5
83,2 weeks ago,5
84,2 weeks ago,5
85,2 weeks ago,4
86,2 weeks ago,5
87,2 weeks ago,5
88,2 weeks ago,5
89,2 weeks ago,4
90,2 weeks ago,4
91,2 weeks ago,5
92,2 weeks ago,1
93,2 weeks ago,4
94,2 weeks ago,5
95,2 weeks ago,5
96,2 weeks ago,3
97,2 weeks ago,5
98,2 weeks ago,5
99,2 weeks ago,4
100,2 weeks ago,5
101,2 weeks ago,5
102,2 weeks ago,5
103,2 weeks ago,5
104,2 weeks ago,5
105,2 weeks ago,5
106,2 weeks ago,5
107,2 weeks ago,4
108,2 weeks ago,5
109,2 weeks ago,3
110,2 weeks ago,5
111,2 weeks ago,5
112,2 weeks ago,5
113,2 weeks ago,5
114,2 weeks ago,5
115,2 weeks ago,5
116,2 weeks ago,3
117,2 weeks ago,5
118,2 weeks ago,5
119,2 weeks ago,5
120,2 weeks ago,5
121,2 weeks ago,5
122,2 weeks ago,5
123,3 weeks ago,5
124,3 weeks ago,5
125,3 weeks ago,3
126,3 weeks ago,5
127,3 weeks ago,4
128,3 weeks ago,5
129,3 weeks ago,5
130,3 weeks ago,5
131,3 weeks ago,5
132,3 weeks ago,4
133,3 weeks ago,5
134,3 weeks ago,5
135,3 weeks ago,5
136,3 weeks ago,5
137,3 weeks ago,5
138,3 weeks ago,5
139,3 weeks ago,5
140,3 weeks ago,4
141,3 weeks ago,5
142,3 weeks ago,5
143,3 weeks ago,5
144,3 weeks ago,5
145,3 weeks ago,5
146,3 weeks ago,5
147,3 weeks ago,5
148,3 weeks ago,5
149,3 weeks ago,5
150,3 weeks ago,5
151,3 weeks ago,5
152,3 weeks ago,5
153,3 weeks ago,5
154,3 weeks ago,3
155,3 weeks ago,5
156,3 weeks ago,5
157,3 weeks ago,5
158,3 weeks ago,5
159,3 weeks ago,4
160,3 weeks ago,4
161,3 weeks ago,4
162,3 weeks ago,5
163,3 weeks ago,5
164,3 weeks ago,4
165,3 weeks ago,5
166,3 weeks ago,5
167,3 weeks ago,5
168,3 weeks ago,5
169,3 weeks ago,5
170,4 weeks ago,5
171,4 weeks ago,5
172,4 weeks ago,5
173,4 weeks ago,5
174,4 weeks ago,5
175,4 weeks ago,3
176,4 weeks ago,5
177,4 weeks ago,5
178,4 weeks ago,5
179,4 weeks ago,5
180,4 weeks ago,5
181,4 weeks ago,5
182,4 weeks ago,5
183,4 weeks ago,4
184,4 weeks ago,5
185,4 weeks ago,4
186,4 weeks ago,4
187,4 weeks ago,4
188,4 weeks ago,5
189,4 weeks ago,5
190,4 weeks ago,5
191,4 weeks ago,4
192,4 weeks ago,4
193,4 weeks ago,5
194,4 weeks ago,5
195,4 weeks ago,5
196,a month ago,5
197,a month ago,5
198,a month ago,5
199,a month ago,5
200,a month ago,5
201,a month ago,4
202,a month ago,5
203,a month ago,4
204,a month ago,5
205,a month ago,5
206,a month ago,5
207,a month ago,4
208,a month ago,5
209,a month ago,4
210,a month ago,5
211,a month ago,5
212,a month ago,5
213,a month ago,5
214,a month ago,5
215,a month ago,5
216,a month ago,5
217,a month ago,5
218,a month ago,4
219,a month ago,5
220,a month ago,5
221,a month ago,5
222,a month ago,1
223,a month ago,4
224,a month ago,5
225,a month ago,5
226,a month ago,4
227,a month ago,4
228,a month ago,3
229,a month ago,5
230,a month ago,3
231,a month ago,3
232,a month ago,5
233,a month ago,5
234,a month ago,5
235,a month ago,5
236,a month ago,5
237,a month ago,5
238,a month ago,5
239,a month ago,5
240,a month ago,5
241,a month ago,5
242,a month ago,5
243,a month ago,5
244,a month ago,5
245,a month ago,5
246,a month ago,5
247,a month ago,5
248,a month ago,5
249,a month ago,5
250,a month ago,5
251,a month ago,5
252,a month ago,5
253,a month ago,5
254,a month ago,5
255,a month ago,5
256,a month ago,5
257,a month ago,1
258,a month ago,5
259,a month ago,5
260,a month ago,5
261,a month ago,4
262,a month ago,5
263,a month ago,5
264,a month ago,5
265,a month ago,5
266,a month ago,4
267,a month ago,5
268,a month ago,5
269,a month ago,5
270,a month ago,5
271,a month ago,4
272,a month ago,5
273,a month ago,5
274,a month ago,4
275,a month ago,5
276,a month ago,4
277,a month ago,5
278,a month ago,5
279,a month ago,5
280,a month ago,5
281,a month ago,4
282,a month ago,5
283,a month ago,4
284,a month ago,5
285,a month ago,3
286,a month ago,5
287,a month ago,5
288,a month ago,5
289,a month ago,3
290,a month ago,5
291,a month ago,2
292,a month ago,5
293,a month ago,5
294,a month ago,5
295,a month ago,5
296,a month ago,5
297,a month ago,5
298,a month ago,5
299,a month ago,4
300,a month ago,5
301,a month ago,5
302,a month ago,5
303,a month ago,5
304,a month ago,4
305,a month ago,5
306,a month ago,4
307,a month ago,5
308,a month ago,5
309,a month ago,5
310,a month ago,5
311,a month ago,5
312,a month ago,4
313,a month ago,5
314,a month ago,5
315,a month ago,5
316,a month ago,4
317,a month ago,5
318,a month ago,5
319,a month ago,4
320,a month ago,5
321,a month ago,5
322,a month ago,5
323,a month ago,5
324,a month ago,5
325,a month ago,5
326,a month ago,5
327,a month ago,1
328,a month ago,5
329,a month ago,4
330,a month ago,5
331,a month ago,5
332,a month ago,4
333,a month ago,5
334,a month ago,5
335,a month ago,5
336,a month ago,5
337,a month ago,5
338,a month ago,5
339,a month ago,4
340,a month ago,5
341,a month ago,5
342,a month ago,5
343,a month ago,5
344,a month ago,5
345,a month ago,3
346,a month ago,5
347,a month ago,5
348,a month ago,4
349,a month ago,5
350,a month ago,5
351,a month ago,5
352,a month ago,5
353,a month ago,5
354,a month ago,5
355,a month ago,5
356,a month ago,5
357,a month ago,5
358,a month ago,5
359,a month ago,4
360,a month ago,5
361,a month ago,4
362,a month ago,5
363,a month ago,3
364,a month ago,5
365,a month ago,3
366,a month ago,5
367,a month ago,5
368,a month ago,5
369,a month ago,5
370,a month ago,3
371,a month ago,5
372,a month ago,5
373,a month ago,3
374,a month ago,5
375,a month ago,5
376,a month ago,5
377,a month ago,5
378,a month ago,5
379,a month ago,4
380,a month ago,4
381,a month ago,4
382,a month ago,4
383,a month ago,5
384,a month ago,5
385,a month ago,5
386,a month ago,4
387,a month ago,5
388,a month ago,3
389,a month ago,5
390,a month ago,5
391,a month ago,5
392,a month ago,5
393,a month ago,5
394,a month ago,4
395,a month ago,5
396,a month ago,5
397,a month ago,5
398,a month ago,5
399,a month ago,5
400,a month ago,3
401,a month ago,5
402,a month ago,5
403,a month ago,5
404,a month ago,5
405,a month ago,5
406,a month ago,5
407,a month ago,4
408,a month ago,5
409,a month ago,5
410,a month ago,4
411,a month ago,5
412,2 months ago,1
413,2 months ago,5
414,2 months ago,5
415,2 months ago,5
416,2 months ago,5
417,2 months ago,5
418,2 months ago,5
419,2 months ago,5
420,2 months ago,5
421,2 months ago,5
422,2 months ago,5
423,2 months ago,5
424,2 months ago,4
425,2 months ago,5
426,2 months ago,5
427,2 months ago,5
428,2 months ago,5
429,2 months ago,5
430,2 months ago,5
431,2 months ago,5
432,2 months ago,5
433,2 months ago,5
434,2 months ago,5
435,2 months ago,5
436,2 months ago,5
437,2 months ago,5
438,2 months ago,5
439,2 months ago,4
440,2 months ago,5
441,2 months ago,5
442,2 months ago,4
443,2 months ago,5
444,2 months ago,5
445,2 months ago,5
446,2 months ago,5
447,2 months ago,5
448,2 months ago,5
449,2 months ago,5
450,2 months ago,5
451,2 months ago,5
452,2 months ago,5
453,2 months ago,5
454,2 months ago,4
455,2 months ago,4
456,2 months ago,5
457,2 months ago,5
458,2 months ago,5
459,2 months ago,5
460,2 months ago,5
461,2 months ago,5
462,2 months ago,3
463,2 months ago,5
464,2 months ago,4
465,2 months ago,5
466,2 months ago,5
467,2 months ago,4
468,2 months ago,5
469,2 months ago,5
470,2 months ago,5
471,2 months ago,5
472,2 months ago,3
473,2 months ago,5
474,2 months ago,5
475,2 months ago,5
476,2 months ago,5
477,2 months ago,3
478,2 months ago,5
479,2 months ago,5
480,2 months ago,5
481,2 months ago,5
482,2 months ago,4
483,2 months ago,5
484,2 months ago,5
485,2 months ago,4
486,2 months ago,5
487,2 months ago,5
488,2 months ago,5
489,2 months ago,5
490,2 months ago,5
491,2 months ago,5
492,2 months ago,5
493,2 months ago,5
494,2 months ago,5
495,2 months ago,5
496,2 months ago,5
497,2 months ago,5
498,2 months ago,5
499,2 months ago,5
500,2 months ago,4
501,2 months ago,5
502,2 months ago,5
503,2 months ago,5
504,2 months ago,5
505,2 months ago,4
506,2 months ago,5
507,2 months ago,5
508,2 months ago,5
509,2 months ago,4
510,2 months ago,4
511,2 months ago,5
512,2 months ago,4
513,2 months ago,5
514,2 months ago,5
515,2 months ago,3
516,2 months ago,4
517,2 months ago,5
518,2 months ago,4
519,2 months ago,5
520,2 months ago,5
521,2 months ago,5
522,2 months ago,5
523,2 months ago,5
524,2 months ago,5
525,2 months ago,5
526,2 months ago,4
527,2 months ago,5
528,2 months ago,5
529,2 months ago,5
530,2 months ago,4
531,2 months ago,5
532,2 months ago,5
533,2 months ago,5
534,2 months ago,1
535,2 months ago,5
536,2 months ago,5
537,2 months ago,5
538,2 months ago,4
539,2 months ago,5
540,2 months ago,5
541,2 months ago,5
542,2 months ago,5
543,2 months ago,5
544,2 months ago,4
545,2 months ago,5
546,2 months ago,5
547,2 months ago,5
548,2 months ago,5
549,2 months ago,4
550,2 months ago,5
551,2 months ago,5
552,2 months ago,5
553,2 months ago,5
554,2 months ago,5
555,2 months ago,5
556,2 months ago,5
557,2 months ago,5
558,2 months ago,4
559,2 months ago,5
560,2 months ago,5
561,2 months ago,5
562,2 months ago,5
563,2 months ago,4
564,2 months ago,5
565,2 months ago,5
566,2 months ago,5
567,2 months ago,5
568,2 months ago,5
569,2 months ago,5
570,2 months ago,5
571,2 months ago,3
572,2 months ago,5
573,2 months ago,5
574,2 months ago,5
575,2 months ago,4
576,2 months ago,5
577,2 months ago,5
578,2 months ago,5
579,2 months ago,5
580,2 months ago,5
581,2 months ago,5
582,2 months ago,2
583,2 months ago,5
584,2 months ago,5
585,2 months ago,5
586,2 months ago,5
587,2 months ago,5
588,2 months ago,5
589,2 months ago,5
590,2 months ago,5
591,2 months ago,5
592,2 months ago,5
593,2 months ago,5
594,2 months ago,1
595,2 months ago,5
596,2 months ago,5
597,2 months ago,5
598,2 months ago,3
599,2 months ago,5
600,2 months ago,4
601,2 months ago,5
602,2 months ago,5
603,2 months ago,5
604,2 months ago,5
605,2 months ago,5
606,2 months ago,5
607,2 months ago,5
608,2 months ago,5
609,2 months ago,5
610,2 months ago,5
611,2 months ago,5
612,2 months ago,5
613,2 months ago,4
614,2 months ago,5
615,2 months ago,5
616,2 months ago,5
617,2 months ago,5
618,2 months ago,5
619,2 months ago,5
620,2 months ago,4
621,2 months ago,5
622,2 months ago,5
623,2 months ago,2
624,2 months ago,4
625,2 months ago,5
626,2 months ago,5
627,2 months ago,5
628,2 months ago,5
629,2 months ago,4
630,2 months ago,5
631,2 months ago,5
632,2 months ago,5
633,2 months ago,4
634,2 months ago,5
635,2 months ago,4
636,2 months ago,5
637,2 months ago,5
638,2 months ago,5
639,2 months ago,5
640,2 months ago,3
641,2 months ago,5
642,2 months ago,4
643,2 months ago,5
644,2 months ago,5
645,2 months ago,4
646,2 months ago,5
647,2 months ago,5
648,2 months ago,5
649,2 months ago,5
650,2 months ago,5
651,2 months ago,4
652,2 months ago,5
653,2 months ago,4
654,2 months ago,5
655,2 months ago,5
656,2 months ago,1
657,2 months ago,5
658,2 months ago,5
659,3 months ago,5
660,3 months ago,5
661,3 months ago,4
662,3 months ago,5
663,3 months ago,5
664,3 months ago,4
665,3 months ago,5
666,3 months ago,4
667,3 months ago,5
668,3 months ago,5
669,3 months ago,5
670,3 months ago,5
671,3 months ago,3
672,3 months ago,4
673,3 months ago,5
674,3 months ago,4
675,3 months ago,5
676,3 months ago,5
677,3 months ago,5
678,3 months ago,5
679,3 months ago,5
680,3 months ago,5
681,3 months ago,5
682,3 months ago,5
683,3 months ago,5
684,3 months ago,5
685,3 months ago,5
686,3 months ago,4
687,3 months ago,5
688,3 months ago,5
689,3 months ago,5
690,3 months ago,5
691,3 months ago,5
692,3 months ago,5
693,3 months ago,5
694,3 months ago,4
695,3 months ago,5
696,3 months ago,5
697,3 months ago,5
698,3 months ago,4
699,3 months ago,5
700,3 months ago,4
701,3 months ago,5
702,3 months ago,5
703,3 months ago,5
704,3 months ago,5
705,3 months ago,5
