,Time,Score
0,2 days ago,5
1,4 days ago,5
2,a week ago,5
3,a week ago,4
4,a week ago,3
5,a week ago,5
6,2 weeks ago,5
7,2 weeks ago,3
8,2 weeks ago,5
9,2 weeks ago,5
10,2 weeks ago,5
11,2 weeks ago,5
12,3 weeks ago,5
13,3 weeks ago,5
14,a month ago,5
15,a month ago,5
16,a month ago,5
17,a month ago,5
18,a month ago,5
19,a month ago,5
20,a month ago,3
21,a month ago,5
22,a month ago,5
23,a month ago,5
24,a month ago,5
25,a month ago,5
26,a month ago,4
27,2 months ago,5
28,2 months ago,5
29,2 months ago,5
30,2 months ago,5
31,2 months ago,5
32,2 months ago,5
33,2 months ago,5
34,2 months ago,5
35,2 months ago,4
36,2 months ago,4
37,2 months ago,1
38,2 months ago,5
39,2 months ago,5
40,2 months ago,5
41,3 months ago,5
42,3 months ago,5
43,3 months ago,5
44,3 months ago,5
45,3 months ago,3
46,3 months ago,1
47,3 months ago,5
48,3 months ago,5
49,3 months ago,5
50,3 months ago,5
51,3 months ago,5
52,3 months ago,4
53,3 months ago,1
54,3 months ago,5
55,3 months ago,5
56,3 months ago,4
57,3 months ago,5
58,3 months ago,5
59,3 months ago,5
60,3 months ago,4
61,3 months ago,5
62,3 months ago,5
63,3 months ago,5
64,3 months ago,5
65,3 months ago,5
66,4 months ago,5
67,4 months ago,5
68,4 months ago,5
69,4 months ago,5
70,4 months ago,5
71,4 months ago,5
72,4 months ago,5
73,4 months ago,5
74,4 months ago,5
75,4 months ago,5
76,4 months ago,5
77,5 months ago,5
78,5 months ago,5
79,5 months ago,5
80,6 months ago,5
81,6 months ago,5
82,6 months ago,5
83,6 months ago,5
84,6 months ago,5
85,6 months ago,5
86,6 months ago,5
87,6 months ago,5
88,6 months ago,5
89,6 months ago,2
90,6 months ago,5
91,6 months ago,5
92,7 months ago,5
93,7 months ago,5
94,7 months ago,5
95,7 months ago,5
96,7 months ago,5
97,7 months ago,5
98,7 months ago,4
99,7 months ago,5
100,7 months ago,5
101,7 months ago,5
102,7 months ago,5
103,7 months ago,5
104,7 months ago,5
105,8 months ago,5
106,8 months ago,3
107,8 months ago,5
108,8 months ago,1
109,8 months ago,5
110,8 months ago,5
111,8 months ago,5
112,8 months ago,5
113,9 months ago,5
114,9 months ago,5
115,9 months ago,5
116,9 months ago,5
117,9 months ago,5
118,9 months ago,5
119,9 months ago,5
120,9 months ago,3
121,9 months ago,5
122,9 months ago,5
123,9 months ago,5
124,10 months ago,5
125,10 months ago,5
126,10 months ago,5
127,10 months ago,5
128,10 months ago,5
129,10 months ago,5
130,10 months ago,5
131,10 months ago,5
132,10 months ago,4
133,10 months ago,5
134,10 months ago,5
135,10 months ago,5
136,10 months ago,3
137,11 months ago,5
138,11 months ago,5
139,11 months ago,5
140,11 months ago,5
141,11 months ago,5
142,11 months ago,5
143,11 months ago,5
144,11 months ago,5
145,11 months ago,5
146,11 months ago,5
147,11 months ago,1
148,11 months ago,1
149,11 months ago,5
150,11 months ago,3
151,11 months ago,3
152,11 months ago,5
153,11 months ago,4
154,11 months ago,3
155,11 months ago,5
156,11 months ago,5
157,11 months ago,5
158,11 months ago,5
159,11 months ago,2
160,11 months ago,5
161,11 months ago,5
162,11 months ago,5
163,11 months ago,5
164,a year ago,1
165,a year ago,5
166,a year ago,5
167,a year ago,5
168,a year ago,5
169,a year ago,4
170,a year ago,1
171,a year ago,5
172,a year ago,3
173,a year ago,4
174,a year ago,5
175,a year ago,5
176,a year ago,5
177,a year ago,5
178,a year ago,4
179,a year ago,5
180,a year ago,5
181,a year ago,5
182,a year ago,5
183,a year ago,5
184,a year ago,5
185,a year ago,5
186,a year ago,5
187,a year ago,5
188,a year ago,5
189,a year ago,5
190,a year ago,5
191,a year ago,5
192,a year ago,4
193,a year ago,5
194,a year ago,5
195,a year ago,4
196,a year ago,5
197,a year ago,4
198,a year ago,5
199,a year ago,5
200,a year ago,4
201,a year ago,5
202,a year ago,5
203,a year ago,5
204,a year ago,4
205,a year ago,4
206,a year ago,5
207,a year ago,5
208,a year ago,5
209,a year ago,5
210,a year ago,1
211,a year ago,5
212,a year ago,5
213,a year ago,5
214,a year ago,4
215,a year ago,5
216,a year ago,5
217,a year ago,4
218,a year ago,5
219,a year ago,5
220,a year ago,5
221,a year ago,3
222,a year ago,5
223,a year ago,4
224,a year ago,5
225,a year ago,3
226,a year ago,5
227,a year ago,5
228,a year ago,5
229,a year ago,5
230,a year ago,5
231,a year ago,5
232,a year ago,5
233,a year ago,5
234,a year ago,4
235,a year ago,5
236,a year ago,5
237,a year ago,4
238,a year ago,5
239,a year ago,4
240,a year ago,4
241,a year ago,5
242,a year ago,5
243,a year ago,4
244,a year ago,5
245,a year ago,5
246,a year ago,5
247,a year ago,5
248,a year ago,4
249,a year ago,4
250,a year ago,5
251,a year ago,5
252,a year ago,5
253,a year ago,5
254,a year ago,4
255,a year ago,5
256,a year ago,5
257,a year ago,5
258,a year ago,5
259,a year ago,5
260,a year ago,5
261,a year ago,3
262,a year ago,5
263,a year ago,5
264,a year ago,5
265,a year ago,5
266,a year ago,5
267,a year ago,4
268,a year ago,5
269,a year ago,5
270,a year ago,4
271,a year ago,1
272,a year ago,5
273,a year ago,4
274,a year ago,4
275,a year ago,5
276,a year ago,5
277,a year ago,1
278,a year ago,1
279,a year ago,5
280,a year ago,5
281,a year ago,5
282,a year ago,1
283,a year ago,5
284,a year ago,4
285,a year ago,2
286,a year ago,4
287,a year ago,5
288,a year ago,4
289,a year ago,5
290,a year ago,5
291,a year ago,4
292,a year ago,5
293,a year ago,5
294,a year ago,5
295,a year ago,5
296,a year ago,5
297,a year ago,5
298,a year ago,5
299,a year ago,5
300,a year ago,5
301,a year ago,5
302,a year ago,3
303,a year ago,5
304,a year ago,4
305,a year ago,5
306,a year ago,5
307,a year ago,2
308,a year ago,4
309,a year ago,4
310,a year ago,5
311,a year ago,5
312,a year ago,5
313,a year ago,5
314,a year ago,5
315,a year ago,4
316,a year ago,4
317,a year ago,5
318,a year ago,5
319,a year ago,3
320,a year ago,5
321,a year ago,5
322,a year ago,5
323,a year ago,5
324,a year ago,5
325,a year ago,5
326,a year ago,5
327,a year ago,5
328,a year ago,5
329,a year ago,5
330,a year ago,5
331,a year ago,3
332,a year ago,4
333,a year ago,5
334,a year ago,4
335,a year ago,5
336,a year ago,5
337,a year ago,5
338,a year ago,5
339,a year ago,5
340,a year ago,5
341,a year ago,5
342,a year ago,5
343,a year ago,5
344,a year ago,5
345,a year ago,5
346,a year ago,1
347,a year ago,5
348,a year ago,5
349,a year ago,5
350,a year ago,5
351,a year ago,5
352,a year ago,3
353,a year ago,5
354,a year ago,5
355,a year ago,5
356,a year ago,5
357,a year ago,5
358,a year ago,5
359,a year ago,5
360,a year ago,5
361,a year ago,5
362,a year ago,5
363,a year ago,4
364,a year ago,5
