,Time,Score
0,an hour ago,5
1,an hour ago,5
2,an hour ago,5
3,2 hours ago,5
4,3 hours ago,5
5,3 hours ago,5
6,3 hours ago,4
7,4 hours ago,5
8,4 hours ago,5
9,4 hours ago,4
10,4 hours ago,5
11,5 hours ago,5
12,5 hours ago,1
13,5 hours ago,4
14,5 hours ago,5
15,6 hours ago,4
16,6 hours ago,5
17,7 hours ago,5
18,7 hours ago,4
19,7 hours ago,1
20,8 hours ago,4
21,8 hours ago,5
22,8 hours ago,5
23,8 hours ago,5
24,9 hours ago,3
25,10 hours ago,5
26,10 hours ago,1
27,11 hours ago,4
28,11 hours ago,5
29,13 hours ago,5
30,13 hours ago,5
31,14 hours ago,5
32,15 hours ago,5
33,17 hours ago,5
34,17 hours ago,4
35,19 hours ago,5
36,20 hours ago,1
37,20 hours ago,4
38,21 hours ago,4
39,a day ago,5
40,a day ago,5
41,a day ago,5
42,a day ago,5
43,a day ago,5
44,a day ago,5
45,a day ago,1
46,a day ago,4
47,a day ago,5
48,a day ago,5
49,a day ago,5
50,a day ago,5
51,a day ago,5
52,a day ago,5
53,a day ago,5
54,a day ago,5
55,a day ago,5
56,a day ago,5
57,a day ago,5
58,a day ago,4
59,a day ago,5
60,a day ago,4
61,a day ago,5
62,a day ago,5
63,a day ago,4
64,a day ago,5
65,a day ago,5
66,a day ago,5
67,a day ago,5
68,a day ago,5
69,a day ago,5
70,a day ago,5
71,a day ago,5
72,a day ago,5
73,a day ago,5
74,a day ago,5
75,a day ago,5
76,2 days ago,4
77,2 days ago,5
78,2 days ago,5
79,2 days ago,4
80,2 days ago,5
81,2 days ago,5
82,2 days ago,5
83,2 days ago,5
84,2 days ago,5
85,2 days ago,5
86,2 days ago,4
87,2 days ago,5
88,2 days ago,5
89,2 days ago,1
90,2 days ago,5
91,2 days ago,4
92,2 days ago,5
93,2 days ago,5
94,2 days ago,5
95,2 days ago,5
96,2 days ago,3
97,2 days ago,5
98,2 days ago,5
99,3 days ago,5
