,Time,Score
0,an hour ago,5
1,2 hours ago,5
2,13 hours ago,5
3,15 hours ago,5
4,22 hours ago,5
5,23 hours ago,5
6,a day ago,5
7,a day ago,5
8,a day ago,5
9,a day ago,5
10,2 days ago,4
11,2 days ago,5
12,2 days ago,5
13,2 days ago,5
14,2 days ago,5
15,2 days ago,5
16,2 days ago,5
17,3 days ago,5
18,3 days ago,5
19,3 days ago,5
20,4 days ago,4
21,4 days ago,5
22,4 days ago,5
23,4 days ago,1
24,4 days ago,5
25,4 days ago,2
26,4 days ago,5
27,4 days ago,4
28,5 days ago,5
29,5 days ago,5
30,5 days ago,5
31,6 days ago,4
32,a week ago,5
33,a week ago,5
34,a week ago,5
35,a week ago,4
36,a week ago,5
37,a week ago,5
38,a week ago,5
39,a week ago,5
40,a week ago,5
41,a week ago,5
42,a week ago,5
43,a week ago,5
44,a week ago,5
45,a week ago,5
46,a week ago,5
47,a week ago,5
48,a week ago,5
49,a week ago,4
50,a week ago,5
51,a week ago,4
52,a week ago,5
53,a week ago,5
54,a week ago,4
55,a week ago,5
56,a week ago,5
57,a week ago,5
58,a week ago,5
59,a week ago,5
60,a week ago,4
61,a week ago,5
62,a week ago,4
63,a week ago,4
64,a week ago,4
65,a week ago,5
66,a week ago,5
67,a week ago,5
68,a week ago,5
69,a week ago,5
70,a week ago,5
71,a week ago,4
72,a week ago,4
73,a week ago,4
74,a week ago,5
75,a week ago,5
76,a week ago,5
77,2 weeks ago,5
78,2 weeks ago,5
79,2 weeks ago,5
80,2 weeks ago,5
81,2 weeks ago,5
82,2 weeks ago,5
83,2 weeks ago,5
84,2 weeks ago,5
85,2 weeks ago,5
86,2 weeks ago,4
87,2 weeks ago,3
88,2 weeks ago,4
89,2 weeks ago,5
90,2 weeks ago,4
91,2 weeks ago,5
92,2 weeks ago,5
93,2 weeks ago,5
94,2 weeks ago,4
95,2 weeks ago,5
96,2 weeks ago,5
97,2 weeks ago,5
98,2 weeks ago,5
99,2 weeks ago,5
100,2 weeks ago,5
101,2 weeks ago,5
102,2 weeks ago,5
103,2 weeks ago,5
104,3 weeks ago,5
105,3 weeks ago,5
106,3 weeks ago,4
107,3 weeks ago,4
108,3 weeks ago,5
109,3 weeks ago,4
110,3 weeks ago,5
111,3 weeks ago,5
112,3 weeks ago,4
113,3 weeks ago,5
114,3 weeks ago,5
115,3 weeks ago,5
116,3 weeks ago,5
117,3 weeks ago,4
118,3 weeks ago,4
119,3 weeks ago,5
120,3 weeks ago,5
121,3 weeks ago,5
122,3 weeks ago,4
123,3 weeks ago,5
124,3 weeks ago,5
125,3 weeks ago,5
126,3 weeks ago,5
127,3 weeks ago,4
128,3 weeks ago,5
129,3 weeks ago,4
130,3 weeks ago,5
131,3 weeks ago,5
132,3 weeks ago,4
133,3 weeks ago,5
134,3 weeks ago,5
135,4 weeks ago,4
136,4 weeks ago,5
137,4 weeks ago,5
138,4 weeks ago,5
139,4 weeks ago,3
140,4 weeks ago,4
141,4 weeks ago,4
142,a month ago,5
143,a month ago,5
144,a month ago,5
145,a month ago,5
146,a month ago,5
147,a month ago,5
148,a month ago,5
149,a month ago,5
150,a month ago,4
151,a month ago,5
152,a month ago,5
153,a month ago,2
154,a month ago,4
155,a month ago,5
156,a month ago,5
157,a month ago,4
158,a month ago,3
159,a month ago,5
160,a month ago,5
161,a month ago,5
162,a month ago,5
163,a month ago,5
164,a month ago,5
165,a month ago,4
166,a month ago,1
167,a month ago,5
168,a month ago,5
169,a month ago,5
170,a month ago,5
171,a month ago,5
172,a month ago,5
173,a month ago,3
174,a month ago,5
175,a month ago,5
176,a month ago,5
177,a month ago,5
178,a month ago,5
179,a month ago,5
180,a month ago,5
181,a month ago,5
182,a month ago,5
183,a month ago,5
184,a month ago,5
185,a month ago,5
186,a month ago,5
187,a month ago,5
188,a month ago,5
189,a month ago,5
190,a month ago,5
191,a month ago,5
192,a month ago,5
193,a month ago,5
